"Hour","Order name","Orders","Total sales","Net sales","Quantity ordered","Hour (yesterday)","Orders (yesterday)","Total sales (yesterday)","Net sales (yesterday)","Quantity ordered (yesterday)","Orders (yesterday) ","Total sales (yesterday) ","Net sales (yesterday) ","Quantity ordered (yesterday) "
"2026-08-28 01:00:00","#2145501",1,1399,1332.38,1,"2026-08-27 01:00:00",0,0,0,0,,,,
"2026-08-28 01:00:00","#2142748",0,0,0,0,"2026-08-27 01:00:00",1,1967,1760.95,2,-100,-100,-100,-100
"2026-08-28 01:00:00","#2145486",1,2483,2364.76,3,"2026-08-27 01:00:00",0,0,0,0,,,,
"2026-08-28 01:00:00","#2142766",0,0,0,0,"2026-08-27 01:00:00",1,1599,1522.86,1,-100,-100,-100,-100
"2026-08-28 01:00:00","#2142770",0,0,0,0,"2026-08-27 01:00:00",1,4498,4283.81,5,-100,-100,-100,-100
"2026-08-28 01:00:00","#2142740",0,0,0,0,"2026-08-27 01:00:00",1,494.1,470.57,1,-100,-100,-100,-100
"2026-08-28 01:00:00","#2145508",1,1699,1618.1,2,"2026-08-27 01:00:00",0,0,0,0,,,,
"2026-08-28 01:00:00","#2145467",1,1887.3,1797.43,4,"2026-08-27 01:00:00",0,0,0,0,,,,
"2026-08-28 01:00:00","#2145479",1,1569,1494.28,1,"2026-08-27 01:00:00",0,0,0,0,,,,
"2026-08-28 01:00:00","#2145480",1,1880,1790.48,2,"2026-08-27 01:00:00",0,0,0,0,,,,
"2026-08-28 01:00:00","#2142735",0,0,0,0,"2026-08-27 01:00:00",1,3898,3712.38,6,-100,-100,-100,-100
"2026-08-28 01:00:00","#2145488",1,1499,1427.62,2,"2026-08-27 01:00:00",0,0,0,0,,,,
"2026-08-28 01:00:00","#2145496",1,1948,1855.24,4,"2026-08-27 01:00:00",0,0,0,0,,,,
"2026-08-28 01:00:00","#2145471",1,1817,1618.1,2,"2026-08-27 01:00:00",0,0,0,0,,,,
"2026-08-28 01:00:00","#2145500",1,1499,1427.62,2,"2026-08-27 01:00:00",0,0,0,0,,,,
"2026-08-28 01:00:00","#2142749",0,0,0,0,"2026-08-27 01:00:00",1,1395,1328.57,1,-100,-100,-100,-100
"2026-08-28 01:00:00","#2142767",0,0,0,0,"2026-08-27 01:00:00",1,1699,1618.1,2,-100,-100,-100,-100
"2026-08-28 01:00:00","#2142757",0,0,0,0,"2026-08-27 01:00:00",1,4497,4282.86,9,-100,-100,-100,-100
"2026-08-28 01:00:00","#2142741",0,0,0,0,"2026-08-27 01:00:00",1,1499,1427.62,2,-100,-100,-100,-100
"2026-08-28 01:00:00","#2142771",0,0,0,0,"2026-08-27 01:00:00",1,2117,1903.81,2,-100,-100,-100,-100
"2026-08-28 01:00:00","#2145499",1,1499,1427.62,2,"2026-08-27 01:00:00",0,0,0,0,,,,
"2026-08-28 01:00:00","#2145487",1,1617,1422,2,"2026-08-27 01:00:00",0,0,0,0,,,,
"2026-08-28 01:00:00","#2145511",1,1499,1427.62,2,"2026-08-27 01:00:00",0,0,0,0,,,,
"2026-08-28 01:00:00","#2145476",1,1809,1722.86,2,"2026-08-27 01:00:00",0,0,0,0,,,,
"2026-08-28 01:00:00","#2145468",1,2069,1970.48,2,"2026-08-27 01:00:00",0,0,0,0,,,,
"2026-08-28 01:00:00","#2145507",1,1499,1427.62,1,"2026-08-27 01:00:00",0,0,0,0,,,,
"2026-08-28 01:00:00","#2145491",1,1499,1427.62,2,"2026-08-27 01:00:00",0,0,0,0,,,,
"2026-08-28 01:00:00","#2142750",0,0,0,0,"2026-08-27 01:00:00",1,1699,1618.1,2,-100,-100,-100,-100
"2026-08-28 01:00:00","#2142760",0,0,0,0,"2026-08-27 01:00:00",1,1499,1427.62,2,-100,-100,-100,-100
"2026-08-28 01:00:00","#2142758",0,0,0,0,"2026-08-27 01:00:00",1,3258,3102.86,5,-100,-100,-100,-100
"2026-08-28 01:00:00","#2142768",0,0,0,0,"2026-08-27 01:00:00",1,1359.15,1294.43,1,-100,-100,-100,-100
"2026-08-28 01:00:00","#2142746",0,0,0,0,"2026-08-27 01:00:00",1,1698,1617.14,3,-100,-100,-100,-100
"2026-08-28 01:00:00","#2145482",1,5847,5568.58,7,"2026-08-27 01:00:00",0,0,0,0,,,,
"2026-08-28 01:00:00","#2145494",1,2563,2440.95,3,"2026-08-27 01:00:00",0,0,0,0,,,,
"2026-08-28 01:00:00","#2142737",0,0,0,0,"2026-08-27 01:00:00",1,2538,2417.14,4,-100,-100,-100,-100
"2026-08-28 01:00:00","#2145502",1,1637,1446.67,1,"2026-08-27 01:00:00",0,0,0,0,,,,
