"Hour","Order name","Orders","Total sales","Net sales","Quantity ordered"
"2026-08-27 09:00:00","#2143016",1,1599,1522.86,1
"2026-08-27 09:00:00","#2142997",1,2998,2855.24,5
"2026-08-27 09:00:00","#2143026",1,2998,2855.24,6
"2026-08-27 09:00:00","#2143038",1,4075,3880.95,5
"2026-08-27 09:00:00","#2142989",1,1187,1127.52,1
"2026-08-27 09:00:00","#2143008",1,2517,2284.76,2
"2026-08-27 09:00:00","#2143093",1,1699,1618.1,1
"2026-08-27 09:00:00","#2143044",1,2983,2840.95,4
"2026-08-27 09:00:00","#2143074",1,963,917.14,1
"2026-08-27 09:00:00","#2143062",1,1499,1427.62,2
"2026-08-27 09:00:00","#2143052",1,1948,1855.24,4
"2026-08-27 09:00:00","#2143085",1,1349.1,1284.86,1
"2026-08-27 09:00:00","#2143007",1,1717,1522.86,1
"2026-08-27 09:00:00","#2142986",1,2248,2140.96,3
"2026-08-27 09:00:00","#2143037",1,1499,1427.62,1
"2026-08-27 09:00:00","#2143029",1,1599,1522.86,1
"2026-08-27 09:00:00","#2142998",1,1998,1902.86,4
"2026-08-27 09:00:00","#2143019",1,1447,1378.1,1
"2026-08-27 09:00:00","#2142990",1,1499,1427.62,2
"2026-08-27 09:00:00","#2143021",1,3098,2950.48,5
"2026-08-27 09:00:00","#2143011",1,1109,943.81,1
"2026-08-27 09:00:00","#2143104",1,1617,1427.62,1
"2026-08-27 09:00:00","#2142969",1,1933,1840.95,3
"2026-08-27 09:00:00","#2142977",1,891.9,849.42,1
"2026-08-27 09:00:00","#2143073",1,1617,1427.62,2
"2026-08-27 09:00:00","#2143043",1,1499,1427.62,1
"2026-08-27 09:00:00","#2143094",1,1499,1427.62,2
"2026-08-27 09:00:00","#2143082",1,1214.1,1156.29,1
"2026-08-27 09:00:00","#2143055",1,1399,1332.38,1
"2026-08-27 09:00:00","#2143065",1,599,570.48,1
"2026-08-27 09:00:00","#2143036",1,1499,1427.62,2
"2026-08-27 09:00:00","#2142987",1,1890,1800,3
"2026-08-27 09:00:00","#2143006",1,1529.1,1456.29,1
"2026-08-27 09:00:00","#2143018",1,1279,1218.1,1
"2026-08-27 09:00:00","#2142999",1,1717,1522.86,1
"2026-08-27 09:00:00","#2143028",1,1699,1618.1,2
"2026-08-27 09:00:00","#2143010",1,1499,1427.62,2
"2026-08-27 09:00:00","#2143020",1,2999,2856.19,3
"2026-08-27 09:00:00","#2142991",1,1699,1618.1,2
"2026-08-27 09:00:00","#2142968",1,1399,1332.38,1
